rank	bank	countrycode	total_assets_us_b	balance_sheet
1	Industrial & Commercial Bank of China	4	3,615.17	3/31/17
2	China Construction Bank Corp	4	3,149.25	3/31/17
3	Agricultural Bank of China	4	2,950.21	3/31/17
4	Bank of China	4	2,746.05	3/31/17
5	Mitsubishi UFJ Financial Group	11	2,713.44	3/31/17
6	JPMorgan Chase & Co	7	2,546.29	3/31/17
7	HSBC Holdings	8	2,416.47	3/31/17
8	BNP Paribas	3	2,348.65	3/31/17
9	Bank of America	7	2,247.70	3/31/17
10	Wells Fargo	7	1,951.56	3/31/17
11	Japan Post Bank	11	1,874.90	3/31/17
12	Credit Agricole Group	3	1,869.92	3/31/17
13	China Development Bank	4	1,831.86	3/31/17
14	Citigroup Inc	7	1,821.64	3/31/17
15	Mizuho Financial Group	11	1,793.84	3/31/17
16	Sumitomo Mitsui Financial Group	11	1,769.54	3/31/17
17	Deutsche Bank	2	1,672.27	3/31/17
18	Barclays PLC	8	1,502.15	3/31/17
19	Societe Generale	3	1,497.47	3/31/17
20	Banco Santander	6	1,444.85	3/31/17
21	Groupe BPCE	3	1,323.76	3/31/17
22	Bank of Communications	4	1,267.78	3/31/17
23	Postal Savings Bank of China	4	1,231.95	3/31/17
24	Lloyds Banking Group	8	1,020.01	3/31/17
25	Royal Bank of Scotland Group	8	977.408	3/31/17
26	Norinchukin Bank	11	957.372	3/31/17
27	ING Groep NV	14	945.608	3/31/17
28	UniCredit S.p.A.	5	941.622	3/31/17
29	Toronto-Dominion Bank	10	941.293	3/31/17
30	UBS Group AG	9	909.208	3/31/17
31	Royal Bank of Canada	10	904.45	3/31/17
32	Industrial Bank Co. Ltd	4	904.22	3/31/17
33	Goldman Sachs Group	7	894.069	3/31/17
34	China Merchants Bank	4	871.052	3/31/17
35	China Minsheng Banking Corp	4	864.655	3/31/17
36	Shanghai Pudong Development Bank	4	854.937	3/31/17
37	China CITIC Bank Corp	4	834.934	3/31/17
38	Morgan Stanley	7	832.391	3/31/17
39	Credit Suisse Group	9	811.622	3/31/17
40	Intesa Sanpaolo	5	790.271	3/31/17
41	Credit Mutuel	3	782.37	3/31/17
42	BBVA	6	768.607	3/31/17
43	Commonwealth Bank of Australia	13	743.871	3/31/17
44	Rabobank Group	14	707.842	3/31/17
45	Nordea	1	694.95	3/31/17
46	Australia & New Zealand Banking Group	13	686.298	3/31/17
47	Bank of Nova Scotia	10	665.286	3/31/17
48	Standard Chartered Plc	8	646.692	3/31/17
49	Westpac Banking Corp	13	643.032	3/31/17
50	European Investment Bank	12	612.616	3/31/17
51	National Australia Bank	13	604.935	3/31/17
